CodigoProduto,DescricaoProduto,TipoEmbalagem,Unidade,CodDepartamento,DescricaoDepartamento,CodSecao,DescricaoSecao,InformacoesTecnicasV1,CodMarca,Marca,CodUnidade,QtdeEmbalagem,PesoEmbalagemUnitaria
1,FARINHA TRIGO D.BENTA ,10X1KG-PLAST,FD,2,ALIMENTOS,268,FARINHA/FARINACEOS,10X1KG)PLAST,141,DONA BENTA,1,10,1.0
17,AMAC.ROUPA AMARELO,2L,UN,5,LIMPEZA,504,AMACIANTE ROUPA,2L,177,"GIRANDO SOL,GIR.SOL",2,1,2.0
24,OLEO SOJA,20X900ML,CX,2,ALIMENTOS,220,GORDURA/OLEO ESPECIAIS,,101,COCAMAR,3,20,0.9
30,DESINF. EUCALIPTO,2L,UN,5,LIMPEZA,526,DESINFETANTE,2L,177,"GIRANDO SOL,GIR.SOL",2,1,2.0
32,FECULA MANDIOCA (ARARUTINHA),500G,UN,2,ALIMENTOS,258,AMIDO/FECULA/POLVILHO,500G,294,NEVE,2,1,0.5
35,DETERG LIQ. NEUTRO,5L,UN,5,LIMPEZA,514,DETERGENTE LIQUIDO,,702,LIMPOL,2,1,5.0
52,SACO LIXO 50L REFOR.63X80X6MI,C/100,FD,6,EMBALAGENS/DESCARTAVEIS,648,SACO LIXO,C/100,284,NAVEPLAST,1,100,1.0
60,PIRUL.C/CHICLE FREEG.TUTTI FRUTTI POP,500G,UN,3,BOMBONIERI,304,PIRULITO,50X12G,170,"FREEGELLS,FREEGELS",2,1,0.5
80,VINAGRE BALSAMICO,"5,01L",UN,2,ALIMENTOS,252,VINAGRE/ACETO,"5,01L",15,ANDALUZIA,2,1,5.01
108,FLOCOS CROCANTE 5MM,750G,UN,2,ALIMENTOS,236,CHOCOLATE/COBERTURA,750G - GRANULACAO DO FLOCOS 5MM,316,"OVOMALTINE,.OVOMALTINE",2,1,0.75
128,MOLHO ESCURO DEMI GLACE,500G,UN,2,ALIMENTOS,206,MOLHO,DILUIÇAO: AGUA - RENDE 5 LITROS,307,NUTRIMENTAL,2,1,0.5
135,FARINHA TRIGO D.BENTA TIP1 PLAST,5X5KG,FD,2,ALIMENTOS,268,FARINHA/FARINACEOS,5X5KG,141,DONA BENTA,1,5,5.0
140,FARINHA TRIGO D.BENTA TIP1 PLAST,10X1KG,FD,2,ALIMENTOS,268,FARINHA/FARINACEOS,10X1KG,141,DONA BENTA,1,10,1.0
188,BOLO D.BENTA LARANJA,450G,UN,2,ALIMENTOS,228,MISTURA/MISTURA BOLO,450G,141,DONA BENTA,2,1,0.45
190,BOLO D.BENTA COCO,450G,UN,2,ALIMENTOS,228,MISTURA/MISTURA BOLO,450G,141,DONA BENTA,2,1,0.45
191,BOLO D.BENTA FESTA,450G,UN,2,ALIMENTOS,228,MISTURA/MISTURA BOLO,450G,141,DONA BENTA,2,1,0.45
194,MOLHO SALADA LIMAO,234ML,UN,2,ALIMENTOS,206,MOLHO,234ML,630,"LIZA,LIZA",2,1,0.234
197,BOLO D.BENTA BAUNILHA,450G,UN,2,ALIMENTOS,228,MISTURA/MISTURA BOLO,450G,141,DONA BENTA,2,1,0.45
198,BOLO D.BENTA MILHO ,450G,UN,2,ALIMENTOS,228,MISTURA/MISTURA BOLO,450G,141,DONA BENTA,2,1,0.45
209,COND. COENTRO GRAO,250G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,250G,208,JANDIRA,2,1,0.25
211,EXTRATO TOMATE ,4KG,UN,2,ALIMENTOS,212,ATOMATADO/CATCHUP,,52,BONARE,2,1,4.0
223,COND. COMINHO PO PURO,1KG,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,1KG,208,JANDIRA,2,1,1.0
224,COND. ALECRIM,250G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,250G,208,JANDIRA,2,1,0.25
226,COND. PIMENTA GRAO,1KG,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,1KG,208,JANDIRA,2,1,1.0
227,COND. NOZ MOSCADA FECULADA,250G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,250G,208,JANDIRA,2,1,0.25
228,COND. CURRY,250G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,250G,208,JANDIRA,2,1,0.25
229,COND. MANJERICAO,250G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,250G,208,JANDIRA,2,1,0.25
230,COND. SALSA DESIDRATADA,250G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,250G,208,JANDIRA,2,1,0.25
237,COND. MANJERONA,250G,UN,2,ALIMENTOS,214,TEMPERO/CONDIMENTO,250G,208,JANDIRA,2,1,0.25
